,0
gcs_min,0.09748942943062999
gcs_roll6_mean,0.07862865468306389
gcs_roll12_std,0.0624363451004878
gcs_slope,0.0537487444474176
gcs_std,0.049775701530350894
temp_slope,0.045969479596327155
spo2_roll6_mean,0.04587943054654307
gcs_range,0.04546635123680769
news2_roll6,0.04455416418646825
news2_total,0.041422027483467704
gcs_roll12_mean,0.039546800864041526
gcs_mean,0.03429723932221784
temp_trajectory,0.03384488913978591
gcs_trajectory,0.03187241676588675
temp_roll6_mean,0.028849377958633012
hr_slope,0.022042073021888993
hr_roll6_mean,0.019860164210813883
temp_roll12_mean,0.01936633799356359
hr_x_rr,0.01857640006868501
hr_roll12_mean,0.01565213627260095
